ORDER,FAMILY,GENUS,Score
Artiodactyla,Bovidae,Aepyceros,hyp
Artiodactyla,Bovidae,Alcelaphus,hyp
Artiodactyla,Cervidae,Alces,bra
Artiodactyla,Bovidae,Ammotragus,hyp
Proboscidea,Gomphotheriidae,Anancus,bra
Perissodactyla,Chalicotheriidae,Ancylotherium,bra
Artiodactyla,Bovidae,Antidorcas,hyp
Artiodactyla,Bovidae,Antilope,hyp
Artiodactyla,Cervidae,Arvernoceros,bra
Primates,Hominidae,Australopithecus,bra
Artiodactyla,Cervidae,Axis,mes
Artiodactyla,Bovidae,Beatragus,hyp
Artiodactyla,Bovidae,Bibos,hyp
Artiodactyla,Bovidae,Bison,hyp
Artiodactyla,Bovidae,Bos,hyp
Artiodactyla,Bovidae,Bouria,hyp
Artiodactyla,Bovidae,Bubalus,hyp
Artiodactyla,Camelidae,Camelus,hyp
Artiodactyla,Bovidae,Capra,hyp
Artiodactyla,Cervidae,Capreolus,bra
Artiodactyla,Bovidae,Capricornis,hyp
Artiodactyla,Bovidae,Cephalophus,mes
Perissodactyla,Rhinocerotidae,Ceratotherium,hyp
Primates,Cercopithecidae,Cercocebus,bra
Primates,Cercopithecidae,Cercopithecoides,bra
Primates,Cercopithecidae,Cercopithecus,bra
Artiodactyla,Cervidae,Cervalces,bra
Artiodactyla,Cervidae,Cervocerus,bra
Artiodactyla,Cervidae,Cervus,mes
Perissodactyla,Rhinocerotidae,Coelodonta,hyp
Primates,Cercopithecidae,Colobus,bra
Artiodactyla,Bovidae,Connochaetes,hyp
Artiodactyla,Cervidae,Dama,bra
Artiodactyla,Bovidae,Damaliscus,hyp
Proboscidea,Deinotheriidae,Deinotherium,bra
Perissodactyla,Rhinocerotidae,Diceros,mes
Artiodactyla,Bovidae,Duboisia,hyp
Artiodactyla,Cervidae,Elaphodus,bra
Artiodactyla,Cervidae,Elaphurus,bra
Perissodactyla,Rhinocerotidae,Elasmotherium,hys
Proboscidea,Elephantidae,Elephas,hyp
Artiodactyla,Cervidae,Eostyloceros,bra
Artiodactyla,Bovidae,Epileptobos,hyp
Perissodactyla,Equidae,Equus,hyp
Artiodactyla,Cervidae,Eucladoceros,bra
Artiodactyla,Cervidae,Eucladoceros/Megaloceros,bra/mes
Perissodactyla,Equidae,Eurygnathohippus,hyp
Primates,Galagidae,Galago,bra
Artiodactyla,Bovidae,Gallogoral,hyp
Artiodactyla,Bovidae,Gazella,NA
Artiodactyla,Bovidae,gen.,NA
Artiodactyla,Giraffidae,Giraffa,bra
Artiodactyla,Bovidae,Hemitragus,hyp
Perissodactyla,Chalicotheriidae,Hesperotherium,bra
Artiodactyla,Hippopotamidae,Hexaprotodon,mes
Perissodactyla,Equidae,Hipparion,hyp
Artiodactyla,Hippopotamidae,Hippopotamus,mes
Artiodactyla,Hippopotamidae,Hippopotamus/Hexaprotodon,mes
Perissodactyla,Equidae,Hippotherium,hyp
Artiodactyla,Bovidae,Hippotragus,hyp
Artiodactyla,Bovidae,Homoioceras,hyp
Artiodactyla,Cervidae,indet.,NA
Artiodactyla,Bovidae,indet.,NA
Primates,Cercopithecidae,indet.,NA
Perissodactyla,Equidae,indet.,NA
Artiodactyla,Giraffidae,indet.,NA
Artiodactyla,Hippopotamidae,indet.,NA
Perissodactyla,Rhinocerotidae,indet.,NA
Artiodactyla,Suidae,indet.,NA
Proboscidea,Elephantidae,indet.,NA
Artiodactyla,Bovidae,Kobus,hyp
Artiodactyla,Bovidae,Kobus/Menelikia,hyp
Artiodactyla,Suidae,Kolpochoerus,mes
Artiodactyla,Bovidae,Leptobos,hyp
Artiodactyla,Cervidae,Libralces,bra
Artiodactyla,Giraffidae,Libytherium,mes
Primates,Cercopithecidae,Lophocebus,bra
Proboscidea,Elephantidae,Loxodonta,hyp
Primates,Cercopithecidae,Macaca,bra
Artiodactyla,Bovidae,Madoqua,hyp
Artiodactyla,Bovidae,Makapania,hyp
Proboscidea,Elephantidae,Mammuthus,hyp
Artiodactyla,Cervidae,Megaloceros,mes
Artiodactyla,Bovidae,Megalotragus,hyp
Perissodactyla,Tapiridae,Megatapirus,bra
Artiodactyla,Bovidae,Menelikia,hyp
Artiodactyla,Cervidae,Metacervocerus,bra
Artiodactyla,Cervidae,Metacervulus,bra
Artiodactyla,Suidae,Metridiochoerus,hyp
Artiodactyla,Cervidae,Muntiacus,bra
Artiodactyla,Bovidae,Nanger,hyp
Perissodactyla,Chalicotheriidae,Nestoritherium,bra
Artiodactyla,Cervidae,Nipponicervus,bra
Artiodactyla,Bovidae,Nitidarcus,hyp
Artiodactyla,Suidae,Notochoerus,hyp
Artiodactyla,Bovidae,Numidocapra,hyp
Artiodactyla,Suidae,Nyanzachoerus,bra
Artiodactyla,Bovidae,Oreotragus,bra
Artiodactyla,Bovidae,Oryx,hyp
Artiodactyla,Bovidae,Ourebia,hyp
Artiodactyla,Bovidae,Ovis,hyp
Proboscidea,Elephantidae,Palaeoloxodon,hyp
Artiodactyla,Giraffidae,Palaeotragus,bra
Primates,Cercopithecidae,Papio,bra
Artiodactyla,Cervidae,Paracervulus,bra
Primates,Cercopithecidae,Paracolobus,bra
Primates,Hominidae,Paranthropus,bra
Artiodactyla,Bovidae,Parantidorcas,hyp
Primates,Cercopithecidae,Parapapio,bra
Artiodactyla,Bovidae,Parmularius,hyp
Artiodactyla,Bovidae,Pelea,mes
Artiodactyla,Bovidae,Pelorovis,hyp
Artiodactyla,Suidae,Phacochoerus,hyp
Artiodactyla,Bovidae,Pliotragus,hyp
Artiodactyla,Bovidae,Pontoceros,mes
Artiodactyla,Cervidae,Praemegaceros,mes
Artiodactyla,Bovidae,Praeovibos,hyp
Primates,Cercopithecidae,Presbytis,bra
Proboscidea,Elephantidae,Primelephas,bra
Perissodactyla,Equidae,Proboscidipparion,hyp
Artiodactyla,Bovidae,Procamptoceras,mes
Artiodactyla,Cervidae,Procapreolus,bra
Artiodactyla,Cervidae,Pseudodama,bra
Primates,Cercopithecidae,Pygathrix,bra
Artiodactyla,Bovidae,Rabaticeras,hyp
Artiodactyla,Bovidae,Raphicerus,hyp
Artiodactyla,Bovidae,Redunca,hyp
Perissodactyla,Rhinocerotidae,Rhinoceros,bra
Primates,Cercopithecidae,Rhinocolobus,bra
Primates,Cercopithecidae,Rhinopithecus,bra
Artiodactyla,Cervidae,Rusa,mes
Artiodactyla,Bovidae,Simatherium,hyp
Proboscidea,Gomphotheriidae,Sinomastodon,bra
Artiodactyla,Cervidae,Sinomegaceros,mes
Artiodactyla,Suidae,Sivachoerus,bra
Artiodactyla,Giraffidae,Sivatherium,bra
Artiodactyla,Bovidae,Soergelia,hyp
Proboscidea,Stegodontidae,Stegodon,bra
Perissodactyla,Rhinocerotidae,Stephanorhinus,bra
Artiodactyla,Suidae,Sus,bra
Artiodactyla,Bovidae,Sylvicapra,mes
Artiodactyla,Bovidae,Syncerus,hyp
Perissodactyla,Tapiridae,Tapirus,bra
Artiodactyla,Bovidae,Taurotragus,hyp
Primates,Cercopithecidae,Theropithecus,mes
Primates,Cercopithecidae,Trachypithecus,bra
Artiodactyla,Bovidae,Tragelaphus,bra
